Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,31.485977,31.485977,30.691156,30.691156,17.518263,103887755
2008-01-03,30.691156,30.887894,30.297680,30.533766,17.428423,34533343
2008-01-04,30.533766,30.533766,29.904203,30.100943,17.181372,42583150
2008-01-07,30.140289,30.187506,29.825508,29.904203,17.069073,36061655
2008-01-08,29.904203,30.226854,29.904203,29.904203,17.069073,31888461
2008-01-09,29.904203,29.904203,29.274641,29.518597,16.848972,19443108
2008-01-10,29.707464,30.691156,29.707464,30.337027,17.316128,38428851
2008-01-11,30.455070,31.013807,30.415724,31.005938,17.697935,87788896
2008-01-14,31.123980,31.202675,30.998068,31.202675,17.810234,51461042
2008-01-15,30.691156,31.202675,30.297680,30.887894,17.630558,55303972
2008-01-16,30.683287,31.202675,29.904203,30.297680,17.293671,26797111
2008-01-17,30.297680,30.612461,29.589422,29.746813,16.979239,44765330
2008-01-18,29.912073,30.376375,29.510727,29.597292,16.893894,32873181
2008-01-21,29.117250,30.376375,28.015516,28.330297,16.170704,59361680
2008-01-22,27.936823,30.376375,27.149870,29.510727,16.844482,36433288
2008-01-23,29.117250,30.376375,28.330297,29.117250,16.619884,23457764
2008-01-24,29.117250,31.320719,29.117250,31.281370,17.855150,83564538
2008-01-25,31.281370,31.871586,31.076763,31.352196,17.895578,50958631
2008-01-28,30.769852,31.478109,30.691156,30.691156,17.518263,57038204
2008-01-29,30.691156,31.871586,30.691156,31.619761,18.048302,45176492
2008-01-30,31.470240,32.265060,31.399414,32.265060,18.416636,44815750
2008-01-31,31.871586,32.501148,31.635498,32.461800,18.528931,44582107
2008-02-01,32.257191,33.052013,32.257191,32.658539,18.641228,44538464
2008-02-04,32.894623,32.894623,32.540497,32.564102,18.587324,52165951
2008-02-05,32.579842,32.579842,32.091930,32.107670,18.326797,15364563
2008-02-06,32.107670,32.501148,32.186367,32.265060,18.416636,35467750
2008-02-07,32.068321,32.650669,32.068321,32.265060,18.416636,41232110
2008-02-08,32.461800,32.461800,31.871586,32.068321,18.304335,2237540
